Symbol,Name,Sector,industry
TIG,TiGenix,Health Care,Major Pharmaceuticals
TKAI,"Tokai Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
TLGT,"Teligent, Inc.",Health Care,Major Pharmaceuticals
TNDM,"Tandem Diabetes Care, Inc.",Health Care,Medical/Dental Instruments
TNXP,Tonix Pharmaceuticals Holding Corp.,Health Care,Major Pharmaceuticals
TPIV,TapImmune Inc.,Health Care,Major Pharmaceuticals
TRIB,Trinity Biotech plc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
TRIL,Trillium Therapeutics Inc.,Health Care,Major Pharmaceuticals
TROV,"TrovaGene, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TROVU,"TrovaGene, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TROVW,"TrovaGene, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TRUP,"Trupanion, Inc.",Health Care,Medical Specialities
TRVN,"Trevena, Inc.",Health Care,Major Pharmaceuticals
TSRO,"TESARO, Inc.",Health Care,Major Pharmaceuticals
TTNP,"Titan Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TTOO,"T2 Biosystems, Inc.",Health Care,Medical/Dental Instruments
TTPH,"Tetraphase Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
TVTY,"Tivity Health, Inc.",Health Care,Hospital/Nursing Management
UNIS,Unilife Corporation,Health Care,Medical/Dental Instruments
UTHR,United Therapeutics Corporation,Health Care,Major Pharmaceuticals
UTMD,"Utah Medical Products, Inc.",Health Care,Medical/Dental Instruments
VBIV,"VBI Vaccines, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VBLT,Vascular Biogenics Ltd.,Health Care,Major Pharmaceuticals
VCEL,Vericel Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VCYT,"Veracyte, Inc.",Health Care,Medical Specialities
VICL,Vical Incorporated,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VIVE,"Viveve Medical, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
VIVO,Meridian Bioscience Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VKTX,"Viking Therapeutics, Inc.",Health Care,Major Pharmaceuticals
VKTXW,"Viking Therapeutics, Inc.",Health Care,Major Pharmaceuticals
VNDA,Vanda Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
VRAY,"ViewRay, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
VRML,"Vermillion, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,Major Pharmaceuticals
VSAR,"Versartis, Inc.",Health Care,Major Pharmaceuticals
VSTM,"Verastem, Inc.",Health Care,Major Pharmaceuticals
VTGN,"VistaGen Therapeutics, Inc.",Health Care,Major Pharmaceuticals
VTL,"Vital Therapies, Inc.",Health Care,Major Pharmaceuticals
VTVT,vTv Therapeutics Inc.,Health Care,Major Pharmaceuticals
VVUS,"VIVUS, Inc.",Health Care,Major Pharmaceuticals
VYGR,"Voyager Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
WBA,"Walgreens Boots Alliance, Inc.",Health Care,Medical/Nursing Services
WINT,"Windtree Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
WMGI,Wright Medical Group N.V.,Health Care,Industrial Specialties
WMGIZ,Wright Medical Group N.V.,Health Care,Industrial Specialties
WVE,WAVE Life Sciences Ltd.,Health Care,Major Pharmaceuticals
XBIO,"Xenetic Biosciences, Inc.",Health Care,Major Pharmaceuticals
XBIT,XBiotech Inc.,Health Care,Major Pharmaceuticals
XENE,Xenon Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
XENT,"Intersect ENT, Inc.",Health Care,Medical/Dental Instruments
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XNCR,"Xencor, Inc.",Health Care,Major Pharmaceuticals
XOMA,XOMA Corporation,Health Care,Major Pharmaceuticals
XRAY,DENTSPLY SIRONA Inc.,Health Care,Medical/Dental Instruments
XTLB,XTL Biopharmaceuticals Ltd.,Health Care,Major Pharmaceuticals
ZFGN,"Zafgen, Inc.",Health Care,Major Pharmaceuticals
ZGNX,"Zogenix, Inc.",Health Care,Major Pharmaceuticals
ZIOP,ZIOPHARM Oncology Inc,Health Care,Major Pharmaceuticals
ZLTQ,"ZELTIQ Aesthetics, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ZSAN,Zosano Pharma Corporation,Health Care,Major Pharmaceuticals
ZYNE,"Zynerba Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,Business Services
